date,msl,wind_speed,longwave_radiation,solar_radiation,relative_humidity,rainfall,tmax
2015-01-01,101090.5596431395,1.207363060747314,33335319.842267618,8174398.370866473,82.23936411685008,2.5602076,24.916723
2015-01-02,101337.27187539404,1.6126284726616793,32320264.592671983,11234442.60234247,79.56030993292576,4.189449,26.79651
2015-01-03,101495.9677958153,2.021170139121017,31950161.34172977,12612270.71663436,83.35758652252677,0.15190728,27.615252
2015-01-04,101610.95620328448,2.790851391166972,31548762.346394684,11967619.498184036,76.79493339148763,0.0,26.975063
2015-01-05,101561.52379485454,2.175815137931686,29894346.314430475,17413148.28534786,68.26821208187772,0.0,28.338764
2015-01-06,101513.707282637,1.6447675503725476,28820908.34445881,18128552.820454147,56.07099701259141,0.0,29.33618
2015-01-07,101424.73752002376,1.8556127136401857,28590141.173126284,18688086.970546205,52.67419100383835,0.0,30.09578
2015-01-08,101605.17935278644,2.4220239311518306,26473617.324575134,19225289.325449817,39.19990335579285,0.0,29.293665
2015-01-09,101729.50535893205,2.438602072653912,25397117.43561192,19708094.50737484,36.53698019723668,0.0,29.282934
2015-01-10,101738.7853206828,2.040045845386156,25298975.339296777,19917987.113044668,36.42075399420036,0.0,29.582409
2015-01-11,101691.78679417726,2.211157525727024,25312045.039076064,20023568.06331169,35.47246836001589,0.0,29.70223
2015-01-12,101627.07824708,1.8210826530807909,25710111.335086584,20039959.555595502,36.3283181667328,0.0,29.956621
2015-01-13,101456.37640713288,1.9114997769667872,26000551.536659334,20040598.238458566,35.88934798491878,0.0,30.473291
2015-01-14,101364.1013439715,1.688227864125451,26658460.585009184,20000652.09150692,32.76626066084906,0.0,30.822416
2015-01-15,101446.37222008732,1.9941369114380232,27541819.65362101,19713541.018297754,38.585030221048974,0.0,29.521074
2015-01-16,101511.78035450303,1.9387353594805576,28107081.17399007,19530273.103816275,40.93262938576507,0.0,30.25521
2015-01-17,101578.25504060464,1.892592233973165,27529294.130804066,19740605.93833212,39.446304179916176,0.0,29.850325
2015-01-18,101511.00849864312,1.8412077297360048,27963917.58850006,19731735.15569979,42.8887563321754,0.0,30.29588
2015-01-19,101428.82105529823,2.448032009874566,29379851.797414493,19547235.38583232,44.33791075069266,0.0,30.675158
2015-01-20,101534.7558946117,3.0396072252957214,32836133.28618618,14075868.84628351,50.93444453980524,0.0,29.73249
2015-01-21,101707.94443406712,2.746294181451605,32493481.027522128,13706089.728424989,53.82008946336659,0.0,30.223356
2015-01-22,101616.82650550923,2.751849287083678,32592917.689170163,14070271.197068594,52.55854172869266,0.0,30.288414
2015-01-23,101468.56178194104,1.7842164535499412,32129842.53943101,15471117.147942958,53.89429818107096,0.0,29.499437
2015-01-24,101485.01687425432,2.03184941829312,32226906.263025817,16344676.537756722,46.71094302502963,0.0,30.995726
2015-01-25,101561.41852626365,2.9627421804147143,31608551.993829217,16970070.06896693,43.09138418887439,0.0,31.43042
2015-01-26,101512.02767960436,1.9116262109966309,30126934.738536075,19266215.45998958,45.33123247548463,0.0,30.821611
2015-01-27,101371.80619550424,2.150762057649026,30049163.769442637,19916351.902986158,42.04439364741329,0.0,31.504866
2015-01-28,101259.05202912794,1.3665839282863617,29173480.849500928,20258511.167900547,44.865300472873095,0.0,30.8128
2015-01-29,101481.53551448812,1.659347367994138,29744027.780438326,20174209.57248755,49.01817593033477,0.0,31.075048
2015-01-30,101697.50702576456,2.7214831468218392,30350647.84719048,18578412.13173542,58.183262890429546,0.0,30.273384
2015-01-31,101617.66189100507,2.2740920876603785,29017809.085923024,20390336.46376524,47.62023400436055,0.0,30.76914
2015-02-01,101492.322410386,1.5675169065860646,30277222.259221908,20378463.29964421,44.84625068078592,0.0,31.976185
2015-02-02,101574.4448347076,2.9409770585014807,30701636.614560544,20487061.75680651,43.60371560488591,0.0,32.679096
2015-02-03,101834.81181357605,2.576065104162177,29858604.035712976,20376262.432019137,43.96241114960557,0.0,31.55083
2015-02-04,101749.15342234548,2.576689539823879,28626666.19078897,21152366.410483107,37.01043076053251,0.0,32.286877
2015-02-05,101566.82261696427,2.1612528485291094,29065351.363769382,19022917.65100088,36.85471907000305,0.0,31.798836
2015-02-06,101497.00397181696,2.735572244157306,28478829.64754005,19679258.383106988,30.43318355294319,0.0,31.900517
2015-02-07,101354.62549127363,3.21716459998358,28769091.45644219,20718276.9128178,28.24055023862056,0.0,32.47578
2015-02-08,101364.55753610794,1.9688055416944517,29550036.789615773,21026172.295075912,40.48717854653405,0.0,32.130547
2015-02-09,101418.61524424872,2.228335219948564,31179315.836629294,19631298.2233816,39.472567609409815,0.0,32.70808
2015-02-10,101491.46217262388,2.688107340594859,30766973.79225817,19990362.13120583,40.39152416820752,0.0,32.926712
2015-02-11,101420.26236827097,1.9365392408493352,30123486.56136406,21189078.187946208,39.30227421329754,0.084194526,32.813343
2015-02-12,101327.71105820515,2.175760380639506,29896725.895037737,21471831.593153097,40.25004055261494,0.0,32.76579
2015-02-13,101351.4113594208,2.1020132043878044,29683825.1567925,21634242.11748589,42.88241452322881,0.0,33.569756
2015-02-14,101251.77847155696,1.6589251587427825,28835324.85184017,22165384.71164923,35.332080658148406,0.0,33.985237
2015-02-15,101286.79806794242,2.097850599129905,28891736.42099009,22383824.737153336,32.78691673437394,0.0,34.66649
2015-02-16,101361.7004406222,1.7186643166468034,28512324.22518088,22724089.804903105,27.75795237812084,0.0,35.995354
2015-02-17,101246.48523895947,2.045359203847476,28853318.466593847,22665983.37485433,27.580551744634366,0.0,35.995243
2015-02-18,101161.17399301456,2.2073256467107245,28272905.963076457,23021455.836611077,29.830021650590805,0.0,35.737175
2015-02-19,101151.07624397644,1.909688053134641,29143016.69591785,22724206.00059968,29.9373455428062,0.0,35.39671
2015-02-20,101275.7718183261,1.7295718035678271,30215325.023981176,21352071.84289617,31.84410628296552,0.0,35.215828
2015-02-21,101386.914170794,2.5635507984202235,30282077.34194903,21875531.0933578,38.497126356382616,0.0,34.29138
2015-02-22,101422.55181272682,2.325144337594013,29895401.641784035,22955207.14794249,32.96824099644443,0.0,34.942596
2015-02-23,101372.78050919971,2.484703198807017,29804977.43319174,23215046.676608413,29.1529156751254,0.0,35.50635
2015-02-24,101142.05615603646,2.2470076031389112,29935127.79251792,23342977.367989305,28.887424262482096,0.0,35.90648
2015-02-25,101024.33423762226,2.7312557472774546,29793315.87644412,23534181.30202302,25.80673606454179,0.0,35.152298
2015-02-26,100966.44987460625,2.255068706011118,30556530.14385107,23172582.14873092,36.334996310076015,0.0,34.82561
2015-02-27,100981.58636883926,1.889454872703605,29962515.360000476,23404778.63590357,31.80963112194872,0.0,34.1842
2015-02-28,101057.49028865076,3.532292242711163,32858200.33162742,13902471.339403618,51.7091503117872,0.0,31.921177
2015-03-01,101202.5288521193,2.4270889996009157,32593004.173704416,7315951.712842373,86.76400636694483,4.772731,23.642826
2015-03-02,101364.93470294598,3.423746504999526,30035143.620101247,17327371.724117614,65.19237331006455,13.986387,29.023876
2015-03-03,101339.87543784708,2.097224425134808,26902689.852352843,24273547.001577266,54.312450023975,0.0,28.48982
